code,iso,country,slope,pct_slope_per_year,r2,start,end,delta,cluster_id,trend_label
762,TJK,Tajikistan,-2.1008618904891154,-0.0428581187605094,0.8291279426635382,70.0193676500115,21.2343582220247,-48.78500942798681,1,Decreasing
834,TZA,Tanzania,-2.3038617061594997,-0.10663528375945658,0.6962679687248086,45.4007051986712,4.88213173436755,-40.51857346430365,1,Decreasing
626,TLS,Timor-Leste,-1.9409751785874167,-0.042229057462430566,0.6652113548021639,57.9391661727566,16.857845514254,-41.081320658502605,1,Decreasing
795,TKM,Turkmenistan,-1.1626986805666537,-0.03142273902346757,0.48885514874086333,59.4002043446049,28.2901432981285,-31.110061046476403,1,Decreasing
894,ZMB,Zambia,-4.042972079159394,-0.08922019526538313,0.9233956226007224,78.7166604810961,0.343282435113821,-78.37337804598228,1,Decreasing
716,ZWE,Zimbabwe,-2.258004679822866,-0.04106111132328375,0.5828870906887931,66.4308290657728,10.1604164842232,-56.2704125815496,1,Decreasing
533,ABW,Aruba,2.9950553605749883,0.05180080360525314,0.6025015476633713,48.2046930368007,100.0,51.7953069631993,0,Increasing
36,AUS,Australia,1.0075621202900822,0.02026883126619677,0.7419109562741633,42.5660371961862,66.6911768077614,24.125139611575193,0,Increasing
40,AUT,Austria,0.9984013882922681,0.017517080325702757,0.5042901170669896,50.90388104889,62.8194142990915,11.915533250201499,0,Increasing
48,BHR,Bahrain,1.283967812913825,0.03238569527494466,0.2275050868360602,25.7274733404891,72.9937850393213,47.2663116988322,0,Increasing
70,BIH,Bosnia and Herzegovina,2.523610005283703,0.12640924412264926,0.8991297041027169,0.0,52.8736579272442,52.8736579272442,0,Increasing
132,CPV,Cabo Verde,1.1617348493453925,0.0734252371721767,0.3174780927971339,16.1480181248073,30.5744658612573,14.426447736449997,0,Increasing
120,CMR,Cameroon,1.8339927796398492,0.046214499348898604,0.3237293622892745,0.0,50.5494785705812,50.5494785705812,0,Increasing
124,CAN,Canada,0.9094691496886523,0.017204174281107997,0.8540528496066905,44.5692947549852,59.8767994949324,15.307504739947198,0,Increasing
152,CHL,Chile,1.592966713907634,0.049887771132902964,0.6210688938700388,7.78379117324255,43.4726415734142,35.68885040017165,0,Increasing
188,CRI,Costa Rica,1.2168534953498005,0.033895148737379706,0.760068263395006,18.7439011669512,43.3229141628919,24.579012995940698,0,Increasing
191,HRV,Croatia,1.1380769503144121,0.023282908220133115,0.7889390310997896,39.6276107921155,59.3797834271866,19.752172635071105,0,Increasing
196,CYP,Cyprus,1.2721972172741565,0.026770033191142927,0.914659333717978,34.566937513296,59.327853496007,24.760915982711005,0,Increasing
208,DNK,Denmark,2.1316554301756674,0.028083954716944234,0.840496229855247,50.0336851119232,100.0,49.9663148880768,0,Increasing
212,DMA,Dominica,1.2346079572189308,0.03299855216854512,0.6361817862896444,32.8939965504192,51.9238167999956,19.029820249576396,0,Increasing
214,DOM,Dominican Republic,2.178815715946653,0.05786725318993338,0.6822373485088824,5.29927476322696,50.137299367421,44.83802460419404,0,Increasing
818,EGY,Egypt,1.2560038690068076,0.03784302242122203,0.7193130068444635,24.3384496053853,52.8956686192254,28.557219013840097,0,Increasing
222,SLV,El Salvador,1.7495453365845584,0.04826978150814123,0.6175530689550333,6.97638098955115,40.4176347994917,33.44125380994055,0,Increasing
